date,actual_revenue,predicted_revenue,baseline_revenue,actual_rpd,predicted_rpd,baseline_rpd
15-05-2022,40032,37273.86845,37086.9157,34.5,30.31404629,28.08176448
22-05-2022,42340,42041.84241,41640.56581,36.7,35.33941994,35.17433343
29-05-2022,44768,40754.86226,40745.12669,37.8,37.51693358,35.67023088
05-06-2022,41943,37993.96044,37663.48595,33.2,30.57761455,29.19784634
12-06-2022,42078,35673.34538,35576.83855,32.1,29.57294486,28.0169138
19-06-2022,39952,36113.08093,35251.82134,31.9,27.48366069,25.61205332
26-06-2022,37683,36338.73014,36222.32036,30.2,27.99126408,24.29014372
03-07-2022,32935,32472.53622,32437.08749,29.8,26.7206269,25.96408395
10-07-2022,37184,34034.33284,33360.93171,32.3,27.60228941,26.59990708
17-07-2022,39284,33767.58064,33615.24153,33.1,27.13353527,25.83198174
24-07-2022,41703,37989.54895,37164.50298,34.7,33.86124667,33.5899726
31-07-2022,43645,43253.18241,42961.48405,33.9,29.68130993,26.75758835
07-08-2022,44732,40309.42153,40234.33252,34.5,34.21534581,32.26341934
14-08-2022,45078,39496.61171,39275.21409,36.2,34.26899464,33.59665056
